TIMESTAMP_MIDDLE,BADM_HEIGHTC,CH4,FH2O,FCH4,FN2O,FN2O_L3.1_L3.2_QCF,USTAR,TA_1_1_1,SW_IN_1_1_1,RH_1_1_1,PPFD_IN_1_1_1,FLAG_L3.2_FN2O_L3.1_QCF
9/1/2022 16:45,0.145714,2093.61,3.80432,2.21078,-0.538131,-0.521258,0.332678,21.7305,358.04,57.509,664.31,0
9/1/2022 17:15,0.145714,2097.74,3.30318,-3.13906,-0.570986,-0.57191411,0.319576,21.5313,262.315,59.0196,484.571,0
9/1/2022 17:45,0.145714,2098.99,3.42876,-0.508521,0.779025,0.7942458,0.321283,21.2051,205.922,60.0048,366.897,1
9/1/2022 18:15,0.145714,2108.15,1.16465,-13.878,-0.998816,-0.9802785,0.176306,20.0835,76.5857,65.4367,141.158,1
9/1/2022 18:45,0.145714,2140.46,0.31505,9.6314,-0.370474,-0.2910447,0.0846911,18.5659,16.5153,71.6562,38.2949,1
9/1/2022 19:15,0.145714,2135.19,-0.514948,-6.98301,1.26275,,0.0329664,17.5007,0.986733,75.1092,2.15738,2
9/1/2022 19:45,0.145714,2179.94,-0.0945268,12.0191,-0.25005,-0.2073596,0.0711025,16.6915,0,77.8387,0,1
9/1/2022 20:15,0.145714,2270.67,-0.111,-18.2098,-0.423801,,0.0286405,16.1753,0,79.6684,0,2
9/1/2022 20:45,0.145714,2333.53,0.135887,14.6991,0.864716,0.87460169,0.0867814,15.7621,0,81.1199,0,1
9/1/2022 21:15,0.145714,2481.21,-0.00953533,5.27661,0.187485,0.23200340000000003,0.0476939,15.815,0,81.4828,0,1
9/1/2022 21:45,0.145714,2445.19,0.11087,18.1535,0.189562,,0.081185,15.0348,0,84.6431,0,2
9/1/2022 22:15,0.145714,2404.81,-0.0574157,15.504,0.923222,,0.0660501,14.2806,0,87.0648,0,2
9/1/2022 22:45,0.145714,2279.73,-0.137702,-24.7603,0.142993,0.0849155,0.111012,14.0963,0,87.438,0,1
9/1/2022 23:15,0.145714,2319.39,-0.118012,10.4639,-0.468066,-0.46113486,0.0567137,13.9891,0,87.4378,0,0
9/1/2022 23:45,0.145714,2332.53,-0.0962806,-13.4826,-0.850501,-0.85624908,0.0548955,14.1544,0,87.2891,0,1
9/2/2022 0:15,0.145714,2363.22,-0.0177076,10.6122,0.971399,1.0129946,0.0845415,13.7496,0,88.4469,0,0
9/2/2022 0:45,0.145714,2429.75,0.0843788,-25.5682,0.401575,0.3673424,0.102013,14.1304,0,86.7572,0,0
9/2/2022 1:15,0.145714,2515.6,0.163515,25.7037,-1.13061,-0.951211,0.0841889,12.0218,0,93.4162,0,1
9/2/2022 1:45,0.145714,2500.25,0.0441629,-34.5242,-1.11411,,0.0912355,11.2699,0,96.0018,0,2
9/2/2022 2:15,0.145714,2444.9,0.24415,25.4102,3.1182,3.1022244999999997,0.0577804,10.8921,0,98.707,0,1
9/2/2022 2:45,0.145714,2459.01,0.342201,-19.1503,-0.37654,-0.3999273,0.105684,11.0395,0,98.7789,0,1
9/2/2022 3:15,0.145714,2447.44,0.115859,-51.7535,1.58713,1.6823145,0.0824818,10.7516,0,99.2132,0,1
9/2/2022 3:45,0.145714,2413.54,0.251747,128.108,7.20556,,0.180694,10.2705,0,99.6885,0,2
9/2/2022 4:15,0.145714,2419.45,0.273611,103.938,-15.9907,,0.255514,10.8985,0,99.9948,0,2
9/2/2022 4:45,0.145714,2569.81,0.0950645,277.419,2.04136,2.211633,0.109381,10.5387,0,99.981,0,1
9/2/2022 5:15,0.145714,2764.13,0.17126,-73.9741,0.625366,,0.0693617,9.63904,0,99.9938,0,2
9/2/2022 5:45,0.145714,2675.04,0.485466,-109.731,-1.32454,,0.189899,9.97927,1.90692,99.998,2.5428,2
9/2/2022 6:15,0.145714,2712.07,1.60443,108.867,-8.57405,,0.108178,10.5404,39.4863,99.998,52.8945,2
9/2/2022 6:45,0.145714,2833.74,-1.14547,-19.1112,1.83138,1.8758543,0.0562763,11.4058,102.68,99.9808,157.448,0
9/2/2022 7:15,0.145714,2691.39,-0.438327,19.765,-0.500178,-0.5418805,0.0969,12.9902,192.344,96.5007,319.836,1
9/2/2022 7:45,0.145714,2405.58,-0.162634,-47.8671,-0.633458,-0.6598209,0.116597,13.9636,202.921,90.9208,358.134,1
9/2/2022 8:15,0.145714,2314.87,2.92726,-15.8615,-0.534876,-0.5918439,0.165664,15.0004,365.938,85.7623,643.877,0
9/2/2022 8:45,0.145714,2226.95,3.51476,-5.89574,-0.528596,-0.6047708,0.194291,15.9105,467.639,80.4437,840.681,0
9/2/2022 9:15,0.145714,2227.59,3.39926,-2.49467,-0.219367,-0.2336606,0.192192,16.4349,447.841,79.0578,807.29,0
9/2/2022 9:45,0.145714,2244.04,3.60037,-10.4659,-0.347876,-0.3597997,0.13233,17.088,597.698,77.5362,1091.16,0
9/2/2022 10:15,0.145714,2246.34,4.95203,-2.72884,-0.464165,-0.5046533,0.145485,18.2486,673.965,75.222,1253.51,0
9/2/2022 10:45,0.145714,2220.83,5.19037,-6.30843,-0.508162,-0.553393,0.0911684,19.1921,728.404,72.1115,1392.56,0
9/2/2022 11:15,0.145714,2210.7,5.68819,-4.17078,-0.57676,-0.6085031,0.185994,20.0949,770.278,69.8552,1486.49,0
9/2/2022 11:45,0.148452,2216.91,5.63208,-1.68614,-0.47076,-0.4905876,0.108163,20.9183,782.661,67.7252,1499.11,0
9/2/2022 12:15,0.148452,2199.23,6.23454,-14.3369,-0.920773,,0.288226,22.1126,799.479,63.5046,1522.65,2
9/2/2022 12:45,0.148452,2189.54,6.15473,5.85264,-0.441188,-0.44759326,0.213811,22.7647,811.906,60.9863,1556.87,0
9/2/2022 13:15,0.148452,2192.71,7.09288,-1.75825,-0.670647,-0.6804205,0.155248,23.485,740.443,60.0433,1414.86,0
9/2/2022 13:45,0.148452,2183.9,4.88477,-8.14746,-0.46987,-0.46209858,0.186681,23.5771,582.562,58.7738,1062.79,0
